Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Purpose of Use,Number of Platforms Used,Device Used Most,Parental Monitoring,Academic Performance,Daily Study Hours,Year of Study,Region,Year_Of_Admission
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,Socializing,5,Mobile,Sometimes,Average,4,4th Year,East,2021
2,22,Male,Graduate,India,2.1,X,No,7.5,8,Single,0,3,Socializing,1,Laptop,No,Average,2,1st Year,North,2022
3,20,Female,Undergraduate,USA,6,Whatsapp,Yes,5,5,Complicated,4,9,Socializing,4,Laptop,Sometimes,Excellent,5,4th Year,South,2022
4,18,Male,High School,UK,3,YouTube,No,7,7,Single,1,4,Other,3,Desktop,Yes,Good,1,2nd Year,South,2022
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6,6,In Relationship,2,7,Education,4,Desktop,Sometimes,Average,2,1st Year,West,2020
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,Education,2,Mobile,Sometimes,Poor,5,1st Year,Central,2024
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8,9,Single,0,2,News,1,Desktop,Sometimes,Poor,1,3rd Year,Central,2024
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6,6,In Relationship,2,8,News,1,Desktop,Sometimes,Poor,4,4th Year,Central,2024
9,18,Male,High School,Japan,4,Whatsapp,No,6.5,7,Single,1,5,Entertainment,1,Desktop,No,Average,5,1st Year,West,2025
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7,7,In Relationship,1,4,Education,2,Mobile,No,Good,4,2nd Year,East,2022
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,Socializing,5,Mobile,No,Good,3,2nd Year,East,2020
12,20,Female,Undergraduate,Spain,5.5,Whatsapp,Yes,5.8,6,In Relationship,2,8,Education,3,Tablet,Yes,Poor,1,1st Year,North,2020
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,Other,2,Laptop,No,Excellent,3,1st Year,East,2021
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,Education,5,Tablet,No,Poor,3,4th Year,Central,2024
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,Education,2,Mobile,Yes,Poor,1,1st Year,West,2022
16,20,Female,Undergraduate,China,4.2,WeChat,Yes,6,6,Complicated,3,7,Education,3,Tablet,Yes,Average,5,1st Year,South,2020
17,24,Male,Graduate,Sweden,2,LinkedIn,No,7.8,8,Single,0,3,Other,1,Mobile,Yes,Good,4,2nd Year,West,2025
18,19,Female,High School,Norway,5,Instagram,Yes,5.7,5,In Relationship,3,8,Other,1,Tablet,Sometimes,Poor,4,1st Year,South,2024
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,Other,2,Desktop,Yes,Poor,1,2nd Year,North,2025
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,News,3,Mobile,No,Good,2,3rd Year,North,2025
21,18,Male,High School,Belgium,5.3,Whatsapp,Yes,5.5,5,Single,4,8,Entertainment,1,Desktop,Sometimes,Poor,2,1st Year,West,2024
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Entertainment,2,Tablet,No,Excellent,5,4th Year,West,2024
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,Education,1,Desktop,Yes,Average,2,3rd Year,North,2020
24,20,Female,Undergraduate,Portugal,5.7,Whatsapp,Yes,5.4,5,Single,4,8,Education,4,Desktop,Yes,Poor,5,3rd Year,East,2024
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,Other,5,Tablet,Sometimes,Average,3,4th Year,South,2023
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,Entertainment,2,Mobile,Sometimes,Poor,3,3rd Year,South,2025
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,Entertainment,2,Tablet,Yes,Average,5,4th Year,East,2025
28,20,Female,Undergraduate,Singapore,4.4,Whatsapp,Yes,5.9,6,In Relationship,3,7,Other,4,Mobile,No,Average,5,2nd Year,East,2021
